churn_probability,predicted_churn,actual_churn,monthly_charges,tenure,contract,avg_remaining_tenure,clv,rank,risk_level
0.7880226,1,1,104.25,24,Month-to-month,12,1251.0,44,Critical
0.6825458,1,1,103.85,53,Month-to-month,12,1246.1999999999998,45,High
0.7921915,1,0,102.65,40,Month-to-month,12,1231.8000000000002,46,Critical
0.75057495,1,0,102.55,17,Month-to-month,12,1230.6,47,Critical
0.92830884,1,1,102.45,1,Month-to-month,12,1229.4,48,Critical
0.70877224,1,1,101.9,53,Month-to-month,12,1222.8000000000002,49,Critical
0.6131287,1,1,101.35,22,Month-to-month,12,1216.1999999999998,50,High
0.40612122,1,1,101.25,27,Month-to-month,12,1215.0,51,Medium
0.6511039,1,0,101.15,38,Month-to-month,12,1213.8000000000002,52,High
0.97759026,1,1,100.95,3,Month-to-month,12,1211.4,53,Critical
0.9316548,1,1,100.75,11,Month-to-month,12,1209.0,54,Critical
0.4677134,1,1,100.6,57,Month-to-month,12,1207.1999999999998,55,Medium
0.7009714,1,1,100.45,17,Month-to-month,12,1205.4,56,Critical
0.6565903,1,1,100.2,30,Month-to-month,12,1202.4,57,High
0.74373734,1,0,100.05,37,Month-to-month,12,1200.6,58,Critical
0.7704403,1,1,100.05,34,Month-to-month,12,1200.6,59,Critical
0.6142465,1,0,100.0,33,Month-to-month,12,1200.0,60,High
0.75817764,1,0,99.85,21,Month-to-month,12,1198.1999999999998,61,Critical
0.8590894,1,1,99.8,49,Month-to-month,12,1197.6,62,Critical
0.90919334,1,1,99.8,4,Month-to-month,12,1197.6,63,Critical
0.72771627,1,0,99.65,24,Month-to-month,12,1195.8000000000002,64,Critical
0.6373813,1,1,99.5,66,Month-to-month,12,1194.0,65,High
0.9365826,1,0,99.3,9,Month-to-month,12,1191.6,66,Critical
0.9821445,1,1,99.25,7,Month-to-month,12,1191.0,67,Critical
0.80897474,1,0,99.05,54,Month-to-month,12,1188.6,68,Critical
0.8943588,1,1,99.0,13,Month-to-month,12,1188.0,69,Critical
0.8286818,1,1,99.0,3,Month-to-month,12,1188.0,70,Critical
0.78597975,1,0,98.55,20,Month-to-month,12,1182.6,71,Critical
0.8560385,1,1,98.35,26,Month-to-month,12,1180.1999999999998,72,Critical
0.67523587,1,1,98.15,13,Month-to-month,12,1177.8000000000002,73,High
0.975878,1,1,98.05,7,Month-to-month,12,1176.6,74,Critical
0.4117298,1,1,96.75,55,Month-to-month,12,1161.0,75,Medium
0.79316616,1,1,96.65,13,Month-to-month,12,1159.8000000000002,76,Critical
0.9704394,1,1,96.6,3,Month-to-month,12,1159.1999999999998,77,Critical
0.5492817,1,0,96.55,20,Month-to-month,12,1158.6,78,High
0.8677661,1,1,96.4,16,Month-to-month,12,1156.8000000000002,79,Critical
0.93369985,1,0,96.2,7,Month-to-month,12,1154.4,80,Critical
0.72919077,1,1,96.05,18,Month-to-month,12,1152.6,81,Critical
0.7077005,1,1,95.9,25,Month-to-month,12,1150.8000000000002,82,Critical
0.8549628,1,1,95.75,6,Month-to-month,12,1149.0,83,Critical
0.78838885,1,0,95.7,50,Month-to-month,12,1148.4,84,Critical
0.965385,1,1,95.65,1,Month-to-month,12,1147.8000000000002,85,Critical
0.69999146,1,1,95.55,27,Month-to-month,12,1146.6,86,High
0.7365645,1,1,95.45,35,Month-to-month,12,1145.4,87,Critical
0.5275686,1,0,95.4,21,Month-to-month,12,1144.8000000000002,88,High
0.6321281,1,0,95.4,3,Month-to-month,12,1144.8000000000002,89,High
0.58566177,1,0,95.25,37,Month-to-month,12,1143.0,90,High
0.3530093,1,1,95.15,18,Month-to-month,12,1141.8000000000002,91,Medium
0.9464562,1,1,95.15,11,Month-to-month,12,1141.8000000000002,92,Critical
0.9871466,1,1,95.1,1,Month-to-month,12,1141.1999999999998,93,Critical
0.8900237,1,0,94.9,3,Month-to-month,12,1138.8000000000002,94,Critical
0.7155265,1,1,94.9,10,Month-to-month,12,1138.8000000000002,95,Critical
0.9540411,1,0,94.85,3,Month-to-month,12,1138.1999999999998,96,Critical
0.87922037,1,1,94.4,9,Month-to-month,12,1132.8000000000002,97,Critical
0.9758508,1,1,94.2,2,Month-to-month,12,1130.4,98,Critical
0.9495851,1,0,94.05,6,Month-to-month,12,1128.6,99,Critical
0.5880096,1,0,94.0,15,Month-to-month,12,1128.0,100,High
0.54966134,1,0,93.9,45,Month-to-month,12,1126.8000000000002,101,High
0.82706505,1,1,93.5,4,Month-to-month,12,1122.0,102,Critical
0.5892685,1,0,93.5,23,Month-to-month,12,1122.0,103,High
0.50040513,1,0,93.35,33,Month-to-month,12,1120.1999999999998,104,High
0.9584714,1,1,93.3,1,Month-to-month,12,1119.6,105,Critical
0.48598966,1,0,92.7,17,Month-to-month,12,1112.4,106,Medium
0.73012483,1,0,92.55,17,Month-to-month,12,1110.6,107,Critical
0.47928756,1,0,92.4,26,Month-to-month,12,1108.8000000000002,108,Medium
0.6706397,1,0,91.5,15,Month-to-month,12,1098.0,109,High
0.53011686,1,0,91.25,33,Month-to-month,12,1095.0,110,High
0.50104725,1,1,91.25,26,Month-to-month,12,1095.0,111,High
0.7365388,1,0,91.15,2,Month-to-month,12,1093.8000000000002,112,Critical
0.3892766,1,1,91.15,31,Month-to-month,12,1093.8000000000002,113,Medium
0.48828584,1,0,91.05,48,Month-to-month,12,1092.6,114,Medium
0.415199,1,0,91.05,32,Month-to-month,12,1092.6,115,Medium
0.91823727,1,1,90.85,1,Month-to-month,12,1090.1999999999998,116,Critical
0.9273404,1,0,90.75,6,Month-to-month,12,1089.0,117,Critical
0.42417663,1,1,90.7,18,Month-to-month,12,1088.4,118,Medium
0.44620228,1,0,90.65,4,Month-to-month,12,1087.8000000000002,119,Medium
0.5472022,1,1,90.6,23,Month-to-month,12,1087.1999999999998,120,High
0.53056806,1,0,90.4,4,Month-to-month,12,1084.8000000000002,121,High
0.9438044,1,1,90.4,2,Month-to-month,12,1084.8000000000002,122,Critical
0.53974986,1,1,90.35,24,Month-to-month,12,1084.1999999999998,123,High
0.738475,1,0,90.35,5,Month-to-month,12,1084.1999999999998,124,Critical
0.87653977,1,0,90.25,8,Month-to-month,12,1083.0,125,Critical
0.7754345,1,1,90.2,20,Month-to-month,12,1082.4,126,Critical
0.8512548,1,0,90.1,9,Month-to-month,12,1081.1999999999998,127,Critical
0.6238184,1,0,90.05,54,Month-to-month,12,1080.6,128,High
0.76598597,1,0,89.85,3,Month-to-month,12,1078.1999999999998,129,Critical
0.39401796,1,1,89.85,15,Month-to-month,12,1078.1999999999998,130,Medium
0.3931799,1,0,89.85,57,Month-to-month,12,1078.1999999999998,131,Medium
0.7193329,1,1,89.75,7,Month-to-month,12,1077.0,132,Critical
0.76310426,1,1,89.6,4,Month-to-month,12,1075.1999999999998,133,Critical
0.9142936,1,1,89.55,1,Month-to-month,12,1074.6,134,Critical
0.8017875,1,1,89.5,25,Month-to-month,12,1074.0,135,Critical
0.8529427,1,1,89.5,10,Month-to-month,12,1074.0,136,Critical
0.7798579,1,1,89.45,3,Month-to-month,12,1073.4,137,Critical
0.50140995,1,1,89.4,22,Month-to-month,12,1072.8000000000002,138,High
0.49906808,1,1,89.4,13,Month-to-month,12,1072.8000000000002,139,Medium
0.43355277,1,0,89.3,45,Month-to-month,12,1071.6,140,Medium
0.78877383,1,1,89.2,4,Month-to-month,12,1070.4,141,Critical
0.7216947,1,0,89.15,7,Month-to-month,12,1069.8000000000002,142,Critical
0.4740821,1,0,89.1,22,Month-to-month,12,1069.1999999999998,143,Medium
0.37696046,1,1,89.05,16,Month-to-month,12,1068.6,144,Medium
0.8683859,1,0,89.0,7,Month-to-month,12,1068.0,145,Critical
0.47050822,1,1,89.0,20,Month-to-month,12,1068.0,146,Medium
0.41740972,1,0,88.95,24,Month-to-month,12,1067.4,147,Medium
0.7756323,1,0,88.85,18,Month-to-month,12,1066.1999999999998,148,Critical
0.81415373,1,0,88.4,9,Month-to-month,12,1060.8000000000002,149,Critical
0.9180266,1,1,88.35,1,Month-to-month,12,1060.1999999999998,150,Critical
0.83223563,1,1,87.25,14,Month-to-month,12,1047.0,151,Critical
0.8061535,1,1,87.05,8,Month-to-month,12,1044.6,152,Critical
0.90422046,1,1,86.85,2,Month-to-month,12,1042.1999999999998,153,Critical
0.73678213,1,0,86.85,19,Month-to-month,12,1042.1999999999998,154,Critical
0.5478467,1,1,86.5,21,Month-to-month,12,1038.0,155,High
0.3758134,1,1,86.2,15,Month-to-month,12,1034.4,156,Medium
0.7526203,1,0,86.05,47,Month-to-month,12,1032.6,157,Critical
0.71455866,1,1,85.8,20,Month-to-month,12,1029.6,158,Critical
0.93105084,1,1,85.7,2,Month-to-month,12,1028.4,159,Critical
0.5220678,1,0,85.7,3,Month-to-month,12,1028.4,160,High
0.9062648,1,1,85.6,10,Month-to-month,12,1027.1999999999998,161,Critical
0.8797679,1,1,85.55,1,Month-to-month,12,1026.6,162,Critical
0.7952812,1,1,85.4,5,Month-to-month,12,1024.8000000000002,163,Critical
0.8789147,1,1,85.3,5,Month-to-month,12,1023.5999999999999,164,Critical
0.7802562,1,0,85.3,5,Month-to-month,12,1023.5999999999999,165,Critical
0.9505645,1,1,85.3,3,Month-to-month,12,1023.5999999999999,166,Critical
0.7316336,1,1,85.25,36,Month-to-month,12,1023.0,167,Critical
0.9173769,1,0,85.2,8,Month-to-month,12,1022.4000000000001,168,Critical
0.9763277,1,1,85.05,1,Month-to-month,12,1020.5999999999999,169,Critical
0.72204655,1,0,85.05,16,Month-to-month,12,1020.5999999999999,170,Critical
0.5070592,1,1,85.0,46,Month-to-month,12,1020.0,171,High
0.80982465,1,1,85.0,30,Month-to-month,12,1020.0,172,Critical
0.63357663,1,0,84.95,18,Month-to-month,12,1019.4000000000001,173,High
0.8270337,1,0,84.9,29,Month-to-month,12,1018.8000000000001,174,Critical
0.7265038,1,1,84.8,11,Month-to-month,12,1017.5999999999999,175,Critical
0.88447213,1,1,84.6,4,Month-to-month,12,1015.1999999999999,176,Critical
0.66910225,1,1,84.5,5,Month-to-month,12,1014.0,177,High
0.81537133,1,1,84.4,6,Month-to-month,12,1012.8000000000001,178,Critical
0.8127267,1,1,84.4,9,Month-to-month,12,1012.8000000000001,179,Critical
0.77444667,1,0,84.35,7,Month-to-month,12,1012.1999999999999,180,Critical
0.7112608,1,1,84.3,15,Month-to-month,12,1011.5999999999999,181,Critical
0.84767365,1,1,84.1,36,Month-to-month,12,1009.1999999999999,182,Critical
0.37614006,1,0,84.05,34,Month-to-month,12,1008.5999999999999,183,Medium
0.75627327,1,1,83.9,6,Month-to-month,12,1006.8000000000001,184,Critical
0.3968094,1,1,83.85,33,Month-to-month,12,1006.1999999999999,185,Medium
0.53793865,1,0,83.4,50,Month-to-month,12,1000.8000000000001,186,High
0.39900023,1,0,83.2,15,Month-to-month,12,998.4000000000001,187,Medium
0.5571157,1,0,55.45,54,One year,18,998.1,188,High
0.5006637,1,0,83.15,35,Month-to-month,12,997.8000000000001,189,High
0.90344465,1,1,82.85,6,Month-to-month,12,994.1999999999999,190,Critical
0.79286295,1,0,82.75,5,Month-to-month,12,993.0,191,Critical
0.7264407,1,0,81.5,2,Month-to-month,12,978.0,192,Critical
0.48155499,1,1,81.45,27,Month-to-month,12,977.4000000000001,193,Medium
0.37429005,1,0,81.25,7,Month-to-month,12,975.0,194,Medium
0.6374008,1,0,81.15,31,Month-to-month,12,973.8000000000001,195,High
0.40104082,1,1,81.05,28,Month-to-month,12,972.5999999999999,196,Medium
0.8943857,1,1,80.95,2,Month-to-month,12,971.4000000000001,197,Critical
0.70097363,1,1,80.85,13,Month-to-month,12,970.1999999999999,198,Critical
0.47851637,1,1,80.85,17,Month-to-month,12,970.1999999999999,199,Medium
0.75999016,1,1,80.8,9,Month-to-month,12,969.5999999999999,200,Critical
0.79394144,1,0,80.7,3,Month-to-month,12,968.4000000000001,201,Critical
0.7826942,1,1,80.65,8,Month-to-month,12,967.8000000000001,202,Critical
0.81092733,1,1,80.55,2,Month-to-month,12,966.5999999999999,203,Critical
0.49669638,1,0,80.55,18,Month-to-month,12,966.5999999999999,204,Medium
0.9347385,1,1,80.5,1,Month-to-month,12,966.0,205,Critical
0.7674922,1,1,80.5,6,Month-to-month,12,966.0,206,Critical
0.71089184,1,0,80.45,31,Month-to-month,12,965.4000000000001,207,Critical
0.41997725,1,1,80.35,32,Month-to-month,12,964.1999999999999,208,Medium
0.8860111,1,1,80.35,4,Month-to-month,12,964.1999999999999,209,Critical
0.76658005,1,0,80.3,4,Month-to-month,12,963.5999999999999,210,Critical
0.90543586,1,1,80.05,1,Month-to-month,12,960.5999999999999,211,Critical
0.93581665,1,1,80.0,1,Month-to-month,12,960.0,212,Critical
0.9187633,1,0,79.95,2,Month-to-month,12,959.4000000000001,213,Critical
0.80032074,1,1,79.85,2,Month-to-month,12,958.1999999999999,214,Critical
0.54429126,1,1,79.85,19,Month-to-month,12,958.1999999999999,215,High
0.6692158,1,1,79.8,13,Month-to-month,12,957.5999999999999,216,High
0.35880148,1,1,79.6,34,Month-to-month,12,955.1999999999999,217,Medium
0.89857167,1,1,79.6,2,Month-to-month,12,955.1999999999999,218,Critical
0.7581272,1,1,79.4,15,Month-to-month,12,952.8000000000001,219,Critical
0.81857455,1,1,79.35,22,Month-to-month,12,952.1999999999999,220,Critical
0.9774779,1,1,79.35,1,Month-to-month,12,952.1999999999999,221,Critical
0.3587208,1,1,79.15,20,Month-to-month,12,949.8000000000001,222,Medium
0.92889476,1,1,79.0,2,Month-to-month,12,948.0,223,Critical
0.71367604,1,1,78.9,32,Month-to-month,12,946.8000000000001,224,Critical
0.4118384,1,1,78.85,24,Month-to-month,12,946.1999999999999,225,Medium
0.9719192,1,1,78.8,1,Month-to-month,12,945.5999999999999,226,Critical
0.8518947,1,0,78.55,7,Month-to-month,12,942.5999999999999,227,Critical
0.68522006,1,0,78.5,11,Month-to-month,12,942.0,228,High
0.48934063,1,0,78.3,13,Month-to-month,12,939.5999999999999,229,Medium
0.7890473,1,0,78.1,14,Month-to-month,12,937.1999999999999,230,Critical
0.38893563,1,0,78.1,11,Month-to-month,12,937.1999999999999,231,Medium
0.5541368,1,1,78.05,27,Month-to-month,12,936.5999999999999,232,High
0.8433956,1,1,77.85,4,Month-to-month,12,934.1999999999999,233,Critical
0.97187895,1,1,77.15,1,Month-to-month,12,925.8000000000001,234,Critical
0.95135844,1,1,77.0,3,Month-to-month,12,924.0,235,Critical
0.8420188,1,1,76.65,4,Month-to-month,12,919.8000000000001,236,Critical
0.5254167,1,1,76.65,17,Month-to-month,12,919.8000000000001,237,High
0.6822854,1,1,76.5,37,Month-to-month,12,918.0,238,High
0.84290946,1,1,76.4,1,Month-to-month,12,916.8000000000001,239,Critical
0.9629664,1,1,76.35,1,Month-to-month,12,916.1999999999999,240,Critical
0.6589421,1,0,76.25,9,Month-to-month,12,915.0,241,High
0.67988485,1,1,76.25,37,Month-to-month,12,915.0,242,High
0.5830656,1,1,76.1,24,Month-to-month,12,913.1999999999999,243,High
0.9176364,1,1,76.05,4,Month-to-month,12,912.5999999999999,244,Critical
0.92058724,1,1,75.85,3,Month-to-month,12,910.1999999999999,245,Critical
0.38163343,1,0,75.85,9,Month-to-month,12,910.1999999999999,246,Medium
0.9441819,1,1,75.8,2,Month-to-month,12,909.5999999999999,247,Critical
0.65749687,1,0,75.75,27,Month-to-month,12,909.0,248,High
0.5942985,1,1,75.75,8,Month-to-month,12,909.0,249,High
0.95176053,1,1,75.7,1,Month-to-month,12,908.4000000000001,250,Critical
0.8457128,1,0,75.65,4,Month-to-month,12,907.8000000000001,251,Critical
0.7582315,1,0,75.6,5,Month-to-month,12,907.1999999999999,252,Critical
0.7016086,1,1,75.55,5,Month-to-month,12,906.5999999999999,253,Critical
0.7827544,1,0,75.55,34,Month-to-month,12,906.5999999999999,254,Critical
0.79796696,1,1,75.5,3,Month-to-month,12,906.0,255,Critical
0.6836537,1,1,75.5,27,Month-to-month,12,906.0,256,High
0.70887077,1,1,75.45,7,Month-to-month,12,905.4000000000001,257,Critical
0.8942994,1,0,75.4,7,Month-to-month,12,904.8000000000001,258,Critical
0.657865,1,0,75.35,43,Month-to-month,12,904.1999999999999,259,High
0.78959703,1,0,75.35,1,Month-to-month,12,904.1999999999999,260,Critical
0.4473076,1,1,75.3,1,Month-to-month,12,903.5999999999999,261,Medium
0.8327697,1,1,75.3,1,Month-to-month,12,903.5999999999999,262,Critical
0.75048727,1,0,75.15,7,Month-to-month,12,901.8000000000001,263,Critical
0.7108978,1,1,75.1,7,Month-to-month,12,901.1999999999999,264,Critical
0.8964024,1,0,75.1,14,Month-to-month,12,901.1999999999999,265,Critical
0.6324876,1,1,75.0,3,Month-to-month,12,900.0,266,High
0.7473127,1,1,74.95,23,Month-to-month,12,899.4000000000001,267,Critical
0.89503396,1,1,74.95,14,Month-to-month,12,899.4000000000001,268,Critical
0.8551029,1,1,74.9,6,Month-to-month,12,898.8000000000001,269,Critical
0.7855744,1,1,74.9,2,Month-to-month,12,898.8000000000001,270,Critical
0.8322312,1,0,74.9,2,Month-to-month,12,898.8000000000001,271,Critical
0.73372287,1,0,74.85,8,Month-to-month,12,898.1999999999999,272,Critical
0.62543565,1,0,74.75,16,Month-to-month,12,897.0,273,High
0.35362846,1,1,74.7,2,Month-to-month,12,896.4000000000001,274,Medium
0.93815935,1,1,74.5,1,Month-to-month,12,894.0,275,Critical
0.95568454,1,1,74.5,1,Month-to-month,12,894.0,276,Critical
0.93124855,1,1,74.4,7,Month-to-month,12,892.8000000000001,277,Critical
0.6461143,1,1,74.4,13,Month-to-month,12,892.8000000000001,278,High
0.50001305,1,1,74.4,32,Month-to-month,12,892.8000000000001,279,High
0.35886037,1,1,74.4,2,Month-to-month,12,892.8000000000001,280,Medium
0.78528416,1,1,74.4,3,Month-to-month,12,892.8000000000001,281,Critical
0.9101914,1,1,74.35,11,Month-to-month,12,892.1999999999999,282,Critical
0.46843776,1,0,74.35,7,Month-to-month,12,892.1999999999999,283,Medium
0.8865636,1,1,74.35,4,Month-to-month,12,892.1999999999999,284,Critical
0.5855257,1,1,74.3,16,Month-to-month,12,891.5999999999999,285,High
0.94217247,1,1,74.25,1,Month-to-month,12,891.0,286,Critical
0.54336256,1,0,74.15,18,Month-to-month,12,889.8000000000001,287,High
0.7603728,1,1,73.9,4,Month-to-month,12,886.8000000000001,288,Critical
0.8183557,1,0,73.85,6,Month-to-month,12,886.1999999999999,289,Critical
0.74244446,1,0,73.7,21,Month-to-month,12,884.4000000000001,290,Critical
0.6013913,1,0,73.6,3,Month-to-month,12,883.1999999999999,291,High
0.82400936,1,1,73.5,1,Month-to-month,12,882.0,292,Critical
0.38106415,1,0,73.1,55,Month-to-month,12,877.1999999999999,293,Medium
0.35717317,1,1,72.65,16,Month-to-month,12,871.8000000000001,294,Medium
0.89361024,1,1,72.2,4,Month-to-month,12,866.4000000000001,295,Critical
0.94992435,1,1,71.65,1,Month-to-month,12,859.8000000000001,296,Critical
0.8371567,1,1,71.35,1,Month-to-month,12,856.1999999999999,297,Critical
0.9036932,1,0,71.1,1,Month-to-month,12,853.1999999999999,298,Critical
0.41582116,1,1,71.05,50,Month-to-month,12,852.5999999999999,299,Medium
0.8731254,1,1,71.0,1,Month-to-month,12,852.0,300,Critical
0.71327645,1,1,70.95,2,Month-to-month,12,851.4000000000001,301,Critical
0.5434238,1,1,70.75,2,Month-to-month,12,849.0,302,High
0.5407152,1,1,70.65,2,Month-to-month,12,847.8000000000001,303,High
0.93080145,1,1,70.6,1,Month-to-month,12,847.1999999999999,304,Critical
0.4556952,1,0,70.55,35,Month-to-month,12,846.5999999999999,305,Medium
0.73784757,1,0,70.5,4,Month-to-month,12,846.0,306,Critical
0.75324076,1,1,70.45,1,Month-to-month,12,845.4000000000001,307,Critical
0.36621675,1,1,70.4,3,Month-to-month,12,844.8000000000001,308,Medium
0.952068,1,0,70.35,1,Month-to-month,12,844.1999999999999,309,Critical
0.6316483,1,0,70.35,2,Month-to-month,12,844.1999999999999,310,High
0.5674976,1,0,70.3,3,Month-to-month,12,843.5999999999999,311,High
0.79761106,1,1,70.3,10,Month-to-month,12,843.5999999999999,312,Critical
0.35320717,1,0,70.3,2,Month-to-month,12,843.5999999999999,313,Medium
0.93834275,1,0,70.25,1,Month-to-month,12,843.0,314,Critical
0.93834275,1,1,70.25,1,Month-to-month,12,843.0,315,Critical
0.7624911,1,0,70.2,4,Month-to-month,12,842.4000000000001,316,Critical
0.57201797,1,0,70.2,14,Month-to-month,12,842.4000000000001,317,High
0.8069965,1,0,70.15,13,Month-to-month,12,841.8000000000001,318,Critical
0.7116769,1,1,70.0,10,Month-to-month,12,840.0,319,Critical
0.9716461,1,1,70.0,1,Month-to-month,12,840.0,320,Critical
0.60508484,1,1,70.0,2,Month-to-month,12,840.0,321,High
0.6622672,1,1,69.95,5,Month-to-month,12,839.4000000000001,322,High
0.6706964,1,0,69.95,2,Month-to-month,12,839.4000000000001,323,High
0.57354224,1,0,69.95,5,Month-to-month,12,839.4000000000001,324,High
0.9735972,1,1,69.9,1,Month-to-month,12,838.8000000000001,325,Critical
0.91042846,1,1,69.9,1,Month-to-month,12,838.8000000000001,326,Critical
0.9735972,1,0,69.9,1,Month-to-month,12,838.8000000000001,327,Critical
0.7877553,1,0,69.8,2,Month-to-month,12,837.5999999999999,328,Critical
0.968246,1,1,69.75,1,Month-to-month,12,837.0,329,Critical
0.75082606,1,1,69.75,2,Month-to-month,12,837.0,330,Critical
0.40542263,1,0,69.75,25,Month-to-month,12,837.0,331,Medium
0.7538993,1,1,69.7,5,Month-to-month,12,836.4000000000001,332,Critical
0.49455965,1,0,69.65,16,Month-to-month,12,835.8000000000001,333,Medium
0.9747747,1,1,69.6,1,Month-to-month,12,835.1999999999999,334,Critical
0.7093357,1,1,69.55,3,Month-to-month,12,834.5999999999999,335,Critical
0.98580986,1,1,69.55,1,Month-to-month,12,834.5999999999999,336,Critical
0.49861506,1,0,69.5,38,Month-to-month,12,834.0,337,Medium
0.9551997,1,1,69.5,1,Month-to-month,12,834.0,338,Critical
0.70479757,1,0,69.35,4,Month-to-month,12,832.1999999999999,339,Critical
0.42488894,1,0,69.3,25,Month-to-month,12,831.5999999999999,340,Medium
0.9794855,1,1,69.25,1,Month-to-month,12,831.0,341,Critical
0.4912127,1,1,69.25,6,Month-to-month,12,831.0,342,Medium
0.50260806,1,0,69.15,34,Month-to-month,12,829.8000000000001,343,High
0.72606134,1,0,69.15,3,Month-to-month,12,829.8000000000001,344,Critical
0.9852615,1,1,69.1,1,Month-to-month,12,829.1999999999999,345,Critical
0.7038102,1,0,69.1,6,Month-to-month,12,829.1999999999999,346,Critical
0.64790434,1,0,68.95,5,Month-to-month,12,827.4000000000001,347,High
0.9689681,1,1,68.65,1,Month-to-month,12,823.8000000000001,348,Critical
0.8186976,1,1,67.75,2,Month-to-month,12,813.0,349,Critical
0.37160328,1,0,65.25,3,Month-to-month,12,783.0,350,Medium
0.483026,1,0,64.9,11,Month-to-month,12,778.8000000000001,351,Medium
0.4167959,1,0,64.6,3,Month-to-month,12,775.1999999999999,352,Medium
0.44910693,1,1,41.6,11,One year,18,748.8000000000001,353,Medium
0.43716323,1,1,62.05,1,Month-to-month,12,744.5999999999999,354,Medium
0.35510594,1,0,60.0,8,Month-to-month,12,720.0,355,Medium
0.82099545,1,1,59.85,1,Month-to-month,12,718.2,356,Critical
0.79951215,1,1,59.2,1,Month-to-month,12,710.4000000000001,357,Critical
0.39473885,1,0,58.95,15,Month-to-month,12,707.4000000000001,358,Medium
0.4490677,1,0,57.2,4,Month-to-month,12,686.4000000000001,359,Medium
0.69889355,1,0,56.55,2,Month-to-month,12,678.5999999999999,360,High
0.49314097,1,0,56.2,19,Month-to-month,12,674.4000000000001,361,Medium
0.38026604,1,0,55.7,1,Month-to-month,12,668.4000000000001,362,Medium
0.40508583,1,0,55.65,42,Month-to-month,12,667.8,363,Medium
0.7195798,1,0,55.55,1,Month-to-month,12,666.5999999999999,364,Critical
0.71783996,1,0,55.45,1,Month-to-month,12,665.4000000000001,365,Critical
0.71783996,1,1,55.4,1,Month-to-month,12,664.8,366,Critical
0.4740685,1,1,54.9,1,Month-to-month,12,658.8,367,Medium
0.60097575,1,0,54.4,8,Month-to-month,12,652.8,368,High
0.46634427,1,0,54.35,2,Month-to-month,12,652.2,369,Medium
0.6587985,1,0,54.15,2,Month-to-month,12,649.8,370,High
0.49875695,1,1,53.95,1,Month-to-month,12,647.4000000000001,371,Medium
0.8925127,1,1,53.5,1,Month-to-month,12,642.0,372,Critical
